Player name,Rank,Player,FPTS,Positional Rank,Team name,Owner,Draft order,Name-Team-Pos,$,Position
Zach Ertz,33.0,Zach Ertz (PHI),56.4,TE-33.0,PHI,Let Me Be Frankel,38,"Zach Ertz Phi, TE",11,TE
Kenny Golladay,100.0,Kenny Golladay (DET),55.8,WR-100.0,DET,Danica Gave Me A Higbee,22,"Kenny Golladay Det, WR",38,WR
N'Keal Harry,101.0,N'Keal Harry (NE),54.7,WR-101.0,NE,Danica Gave Me A Higbee,130,"N'Keal Harry NE, WR",1,WR
Alexander Mattison,66.0,Alexander Mattison (MIN),52.4,RB-66.0,MIN,Cookin Russells,105,"Alexander Mattison Min, RB",1,RB
Sony Michel,69.0,Sony Michel (NE),50.7,RB-69.0,NE,Fumble .,147,"Sony Michel NE, RB",2,RB
Mark Ingram II,75.0,Mark Ingram II (BAL),46.0,RB-75.0,BAL,Dak's Butt Kickers,73,"Mark Ingram II Bal, RB",5,RB
Julian Edelman,109.0,Julian Edelman (NE),45.7,WR-109.0,NE,Wolf Pussy,65,"Julian Edelman NE, WR",7,WR
DeSean Jackson,117.0,DeSean Jackson (PHI),37.8,WR-117.0,PHI,Wolf Pussy,101,"DeSean Jackson Phi, WR",1,WR
Matt Breida,82.0,Matt Breida (MIA),37.5,RB-82.0,MIA,Let Me Be Frankel,117,"Matt Breida Mia, RB",1,RB
Jordan Howard,86.0,Jordan Howard (PHI),30.2,RB-86.0,PHI,2 Many Cooks 2 Many,98,"Jordan Howard Phi, RB",2,RB
Tarik Cohen,110.0,Tarik Cohen (CHI),14.5,RB-110.0,CHI,2 Many Cooks 2 Many,85,"Tarik Cohen Chi, RB",2,RB
Saquon Barkley,113.0,Saquon Barkley (NYG),12.4,RB-113.0,NYG,Let Me Be Frankel,11,"Saquon Barkley NYG, RB",80,RB
Tevin Coleman,120.0,Tevin Coleman (SF),10.7,RB-120.0,SF,Let Me Be Frankel,139,"Tevin Coleman SF, RB",1,RB
Courtland Sutton,175.0,Courtland Sutton (DEN),8.1,WR-175.0,DEN,Fumble .,43,"Courtland Sutton Den, WR",27,WR
Marlon Mack,128.0,Marlon Mack (IND),7.1,RB-128.0,IND,Ice City USA,135,"Marlon Mack Ind, RB",1,RB
Ryquell Armstead,185.0,Ryquell Armstead (JAC),0.0,RB-185.0,JAC,Sweetless In Seattle,109,"Ryquell Armstead Jax, RB",1,RB
